#JD      =     2455808.62793044                                                 
Wave   Flux
5031.7154  172732.5
5033.1918  172394.8
5034.6681  171706.1
5036.1444  170931.
5037.6207  171123.9
5039.0971  170366.6
5040.5734  169346.3
5042.0497  169209.
5043.5260  169817.2
5045.0023  171311.8
5046.4787  171654.
5047.9550  171203.1
5049.4313  170728.6
5050.9076  170718.
5052.3840  170327.4
5053.8603  169585.3
5055.3366  168818.5
5056.8129  168643.6
5058.2892  169370.
5059.7656  170166.4
5061.2419  170643.5
5062.7182  170750.5
5064.1945  171213.
5065.6709  170584.6
5067.1472  170415.2
5068.6235  170203.4
5070.0998  169700.9
5071.5761  169750.
5073.0525  168854.3
5074.5288  168983.2
5076.0051  168192.4
5077.4814  168191.3
5078.9577  167968.3
5080.4341  167921.4
5081.9104  167857.5
5083.3867  168045.4
5084.8630  167760.
5086.3394  168742.6
5087.8157  169065.
5089.2920  168533.4
5090.7683  168666.
5092.2446  168296.
5093.7210  168519.4
5095.1973  168592.2
5096.6736  167674.9
5098.1499  166517.9
5099.6263  166046.2
5101.1026  166275.3
5102.5789  166858.5
5104.0552  167163.5
5105.5315  167636.5
5107.0079  167272.2
5108.4842  166996.4
5109.9605  166485.1
5111.4368  167095.8
5112.9132  167587.2
5114.3895  168000.1
5115.8658  168851.
5117.3421  168368.2
5118.8184  167347.5
5120.2948  167231.9
5121.7711  166567.2
5123.2474  166053.3
5124.7237  165467.7
5126.2000  164750.8
5127.6764  164650.2
5129.1527  164519.1
5130.6290  164564.2
5132.1053  165313.6
5133.5817  165014.3
5135.0580  164950.5
5136.5343  164293.3
5138.0106  163825.4
5139.4869  163735.6
5140.9633  163467.9
5142.4396  164355.
5143.9159  164103.7
5145.3922  163303.7
5146.8686  163018.1
5148.3449  162326.6
5149.8212  162294.9
5151.2975  162639.5
5152.7738  162817.6
5154.2502  162557.5
5155.7265  162447.1
5157.2028  162366.
5158.6791  163082.6
5160.1555  163258.7
5161.6318  162307.5
5163.1081  161407.4
5164.5844  160535.3
5166.0607  158800.2
5167.5371  156108.5
5169.0134  153944.4
5170.4897  154061.2
5171.9660  155470.
5173.4423  156938.9
5174.9187  158989.8
5176.3950  160626.1
5177.8713  161219.7
5179.3476  161406.6
5180.8240  160490.9
5182.3003  158584.8
5183.7766  156941.9
5185.2529  156187.
5186.7292  157637.3
5188.2056  158906.9
5189.6819  158631.
5191.1582  158656.3
5192.6345  158516.8
5194.1109  157800.8
5195.5872  157331.3
5197.0635  157287.1
5198.5398  157290.9
5200.0161  157982.3
5201.4925  158583.7
5202.9688  158302.7
5204.4451  157789.7
5205.9214  157524.6
5207.3978  157436.8
5208.8741  157893.4
5210.3504  158676.4
5211.8267  158455.2
5213.3030  157518.1
5214.7794  157509.8
5216.2557  156855.3
5217.7320  156419.4
5219.2083  157261.6
5220.6846  157732.7
5222.1610  157590.1
5223.6373  156770.7
5225.1136  155430.5
5226.5899  153738.8
5228.0663  153671.2
5229.5426  154467.7
5231.0189  154447.2
5232.4952  153642.3
5233.9715  152830.3
5235.4479  152717.7
5236.9242  153038.6
5238.4005  154088.1
5239.8768  155055.9
5241.3532  155431.4
5242.8295  155822.
5244.3058  156081.2
5245.7821  155987.5
5247.2584  155782.1
5248.7348  154696.7
5250.2111  154436.6
5251.6874  154318.
5253.1637  153829.6
5254.6401  153532.4
5256.1164  153652.1
5257.5927  153636.8
5259.0690  153341.8
5260.5453  152502.2
5262.0217  151490.5
5263.4980  150153.1
5264.9743  149483.5
5266.4506  150110.6
5267.9269  149864.5
5269.4033  150139.5
5270.8796  149279.7
5272.3559  149417.1
5273.8322  149825.
5275.3086  148915.1
5276.7849  149169.3
5278.2612  150323.5
5279.7375  150362.7
5281.2138  150691.5
5282.6902  150449.2
5284.1665  150112.8
5285.6428  150800.9
5287.1191  151808.6
5288.5955  151671.
5290.0718  151552.
5291.5481  151644.9
5293.0244  151428.2
5294.5007  150786.5
5295.9771  150553.6
5297.4534  150315.2
5298.9297  149823.7
5300.4060  149413.7
5301.8824  149242.7
5303.3587  149064.9
5304.8350  149156.2
5306.3113  148713.3
5307.7876  148449.8
